PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),DEPH LEVEL0 (meter),QC
5201586,2017-12-08T03:00:00Z,11.0086,125.7702,0,01117
5201586,2017-12-08T04:00:00Z,11.0084,125.7706,0,01117
5201586,2017-12-08T05:00:00Z,11.0082,125.7722,0,01117
5201586,2017-12-08T06:00:00Z,11.0082,125.7716,0,01117
5201586,2017-12-08T07:00:00Z,11.0068,125.7710,0,01117
5201586,2017-12-08T08:00:00Z,11.0072,125.7698,0,01117
5201586,2017-12-08T09:00:00Z,11.0076,125.7696,0,01117
5201586,2017-12-08T10:00:00Z,11.0080,125.7702,0,01117
5201586,2017-12-08T11:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-08T12:00:00Z,11.0078,125.7700,0,01117
5201586,2017-12-08T13:00:00Z,11.0080,125.7698,0,01117
5201586,2017-12-08T14:00:00Z,11.0080,125.7700,0,01117
5201586,2017-12-08T16:00:00Z,11.0086,125.7700,0,01117
5201586,2017-12-08T17:00:00Z,11.0092,125.7698,0,01117
5201586,2017-12-08T18:00:00Z,11.0088,125.7704,0,01117
5201586,2017-12-08T19:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-08T20:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-08T21:00:00Z,11.0084,125.7698,0,01117
5201586,2017-12-08T22:00:00Z,11.0092,125.7698,0,01117
5201586,2017-12-08T23:00:00Z,11.0096,125.7702,0,01117
5201586,2017-12-09T00:00:00Z,11.0092,125.7710,0,01117
5201586,2017-12-09T01:00:00Z,11.0082,125.7698,0,01117
5201586,2017-12-09T02:00:00Z,11.0072,125.7700,0,01117
5201586,2017-12-09T03:00:00Z,11.0098,125.7704,0,01117
5201586,2017-12-09T04:00:00Z,11.0082,125.7704,0,01117
5201586,2017-12-09T05:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-09T06:00:00Z,11.0084,125.7702,0,01117
5201586,2017-12-09T07:00:00Z,11.0084,125.7702,0,01117
5201586,2017-12-09T08:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-09T09:00:00Z,11.0086,125.7706,0,01117
5201586,2017-12-09T10:00:00Z,11.0076,125.7698,0,01117
5201586,2017-12-09T11:00:00Z,11.0056,125.7716,0,01117
5201586,2017-12-09T12:00:00Z,11.0066,125.7702,0,01117
5201586,2017-12-09T13:00:00Z,11.0082,125.7698,0,01117
5201586,2017-12-09T14:00:00Z,11.0082,125.7698,0,01117
5201586,2017-12-09T15:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-09T17:00:00Z,11.0080,125.7700,0,01117
5201586,2017-12-09T18:00:00Z,11.0082,125.7704,0,01117
5201586,2017-12-09T19:00:00Z,11.0078,125.7700,0,01117
5201586,2017-12-09T20:00:00Z,11.0070,125.7688,0,01117
5201586,2017-12-09T21:00:00Z,11.0084,125.7700,0,01117
5201586,2017-12-09T22:00:00Z,11.0082,125.7700,0,01117
5201586,2017-12-09T23:00:00Z,11.0082,125.7700,0,01117
5201586,2017-12-10T00:00:00Z,11.0084,125.7710,0,01117
5201586,2017-12-10T01:00:00Z,11.0086,125.7698,0,01117
5201586,2017-12-10T02:00:00Z,11.0082,125.7700,0,01117
5201586,2017-12-10T03:00:00Z,11.0086,125.7706,0,01117
5201586,2017-12-10T04:00:00Z,11.0080,125.7710,0,01117
5201586,2017-12-10T05:00:00Z,11.0088,125.7724,0,01117
5201586,2017-12-10T06:00:00Z,11.0082,125.7718,0,01117
5201586,2017-12-10T07:00:00Z,11.0072,125.7710,0,01117
5201586,2017-12-10T08:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-10T09:00:00Z,11.0080,125.7702,0,01117
5201586,2017-12-10T10:00:00Z,11.0080,125.7704,0,01117
5201586,2017-12-10T12:00:00Z,11.0078,125.7702,0,01117
5201586,2017-12-10T13:00:00Z,11.0076,125.7694,0,01117
5201586,2017-12-10T14:00:00Z,11.0080,125.7696,0,01117
5201586,2017-12-10T15:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-10T16:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-10T18:00:00Z,11.0080,125.7708,0,01117
5201586,2017-12-10T19:00:00Z,11.0056,125.7694,0,01117
5201586,2017-12-10T20:00:00Z,11.0082,125.7700,0,01117
5201586,2017-12-10T21:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-10T23:00:00Z,11.0082,125.7700,0,01117
5201586,2017-12-11T00:00:00Z,11.0072,125.7712,0,01117
5201586,2017-12-11T01:00:00Z,11.0078,125.7678,0,01117
5201586,2017-12-11T02:00:00Z,11.0080,125.7692,0,01117
5201586,2017-12-11T03:00:00Z,11.0090,125.7708,0,01117
5201586,2017-12-11T04:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-11T05:00:00Z,11.0082,125.7704,0,01117
5201586,2017-12-11T06:00:00Z,11.0090,125.7722,0,01117
5201586,2017-12-11T07:00:00Z,11.0072,125.7706,0,01117
5201586,2017-12-11T08:00:00Z,11.0072,125.7706,0,01117
5201586,2017-12-11T09:00:00Z,11.0084,125.7706,0,01117
5201586,2017-12-11T10:00:00Z,11.0074,125.7714,0,01117
5201586,2017-12-11T11:00:00Z,11.0076,125.7710,0,01117
5201586,2017-12-11T12:00:00Z,11.0076,125.7702,0,01117
5201586,2017-12-11T13:00:00Z,11.0082,125.7698,0,01117
5201586,2017-12-11T14:00:00Z,11.0080,125.7702,0,01117
5201586,2017-12-11T15:00:00Z,11.0078,125.7702,0,01117
5201586,2017-12-11T16:00:00Z,11.0082,125.7704,0,01117
5201586,2017-12-11T17:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-11T18:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-11T19:00:00Z,11.0082,125.7700,0,01117
5201586,2017-12-11T20:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-11T21:00:00Z,11.0084,125.7704,0,01117
5201586,2017-12-11T22:00:00Z,11.0080,125.7708,0,01117
5201586,2017-12-11T23:00:00Z,11.0064,125.7712,0,01117
5201586,2017-12-12T00:00:00Z,11.0082,125.7700,0,01117
5201586,2017-12-12T01:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-12T02:00:00Z,11.0082,125.7700,0,01117
5201586,2017-12-12T03:00:00Z,11.0082,125.7704,0,01117
5201586,2017-12-12T04:00:00Z,11.0082,125.7704,0,01117
5201586,2017-12-12T05:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-12T06:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-12T07:00:00Z,11.0084,125.7702,0,01117
5201586,2017-12-12T08:00:00Z,11.0080,125.7706,0,01117
5201586,2017-12-12T09:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-12T10:00:00Z,11.0082,125.7700,0,01117
5201586,2017-12-12T11:00:00Z,11.0082,125.7700,0,01117
5201586,2017-12-12T13:00:00Z,11.0082,125.7694,0,01117
5201586,2017-12-12T14:00:00Z,11.0080,125.7706,0,01117
5201586,2017-12-12T15:00:00Z,11.0078,125.7706,0,01117
5201586,2017-12-12T17:00:00Z,11.0080,125.7704,0,01117
5201586,2017-12-12T18:00:00Z,11.0076,125.7696,0,01117
5201586,2017-12-12T19:00:00Z,11.0070,125.7708,0,01117
5201586,2017-12-12T20:00:00Z,11.0066,125.7702,0,01117
5201586,2017-12-12T21:00:00Z,11.0084,125.7700,0,01117
5201586,2017-12-12T22:00:00Z,11.0082,125.7704,0,01117
5201586,2017-12-12T23:00:00Z,11.0072,125.7712,0,01117
5201586,2017-12-13T00:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-13T01:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-13T02:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-13T03:00:00Z,11.0090,125.7706,0,01117
5201586,2017-12-13T04:00:00Z,11.0080,125.7702,0,01117
5201586,2017-12-13T05:00:00Z,11.0080,125.7702,0,01117
5201586,2017-12-13T06:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-13T07:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-13T08:00:00Z,11.0074,125.7704,0,01117
5201586,2017-12-13T09:00:00Z,11.0072,125.7704,0,01117
5201586,2017-12-13T10:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-13T12:00:00Z,11.0080,125.7700,0,01117
5201586,2017-12-13T13:00:00Z,11.0082,125.7698,0,01117
5201586,2017-12-13T14:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-13T15:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-13T16:00:00Z,11.0070,125.7694,0,01117
5201586,2017-12-13T18:00:00Z,11.0072,125.7688,0,01117
5201586,2017-12-13T19:00:00Z,11.0056,125.7714,0,01117
5201586,2017-12-13T20:00:00Z,11.0066,125.7698,0,01117
5201586,2017-12-13T21:00:00Z,11.0082,125.7700,0,01117
5201586,2017-12-13T23:00:00Z,11.0078,125.7704,0,01117
5201586,2017-12-14T00:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-14T01:00:00Z,11.0082,125.7700,0,01117
5201586,2017-12-14T03:00:00Z,11.0082,125.7704,0,01117
5201586,2017-12-14T04:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-14T06:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-14T07:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-14T08:00:00Z,11.0066,125.7702,0,01117
5201586,2017-12-14T09:00:00Z,11.0068,125.7702,0,01117
5201586,2017-12-14T10:00:00Z,11.0072,125.7698,0,01117
5201586,2017-12-14T11:00:00Z,11.0080,125.7710,0,01117
5201586,2017-12-14T12:00:00Z,11.0074,125.7708,0,01117
5201586,2017-12-14T13:00:00Z,11.0078,125.7702,0,01117
5201586,2017-12-14T14:00:00Z,11.0078,125.7702,0,01117
5201586,2017-12-14T15:00:00Z,11.0080,125.7704,0,01117
5201586,2017-12-14T16:00:00Z,11.0064,125.7702,0,01117
5201586,2017-12-14T17:00:00Z,11.0078,125.7706,0,01117
5201586,2017-12-14T18:00:00Z,11.0068,125.7682,0,01117
5201586,2017-12-14T19:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-14T20:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-14T21:00:00Z,11.0082,125.7700,0,01117
5201586,2017-12-14T23:00:00Z,11.0080,125.7700,0,01117
5201586,2017-12-15T00:00:00Z,11.0080,125.7702,0,01117
5201586,2017-12-15T01:00:00Z,11.0080,125.7700,0,01117
5201586,2017-12-15T02:00:00Z,11.0080,125.7702,0,01117
5201586,2017-12-15T03:00:00Z,11.0078,125.7700,0,01117
5201586,2017-12-15T04:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-15T05:00:00Z,11.0082,125.7700,0,01117
5201586,2017-12-15T06:00:00Z,11.0082,125.7700,0,01117
5201586,2017-12-15T07:00:00Z,11.0080,125.7706,0,01117
5201586,2017-12-15T08:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-15T09:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-15T10:00:00Z,11.0080,125.7712,0,01117
5201586,2017-12-15T12:00:00Z,11.0064,125.7712,0,01117
5201586,2017-12-15T13:00:00Z,11.0078,125.7700,0,01117
5201586,2017-12-15T14:00:00Z,11.0076,125.7702,0,01117
5201586,2017-12-15T15:00:00Z,11.0078,125.7706,0,01117
5201586,2017-12-15T17:00:00Z,11.0078,125.7708,0,01117
5201586,2017-12-15T18:00:00Z,11.0080,125.7702,0,01117
5201586,2017-12-15T19:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-15T20:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-15T21:00:00Z,11.0082,125.7700,0,01117
5201586,2017-12-15T22:00:00Z,11.0082,125.7704,0,01117
5201586,2017-12-15T23:00:00Z,11.0082,125.7698,0,01117
5201586,2017-12-16T00:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-16T01:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-16T02:00:00Z,11.0080,125.7702,0,01117
5201586,2017-12-16T03:00:00Z,11.0080,125.7700,0,01117
5201586,2017-12-16T04:00:00Z,11.0080,125.7702,0,01117
5201586,2017-12-16T05:00:00Z,11.0080,125.7704,0,01117
5201586,2017-12-16T06:00:00Z,11.0078,125.7712,0,01117
5201586,2017-12-16T07:00:00Z,11.0082,125.7710,0,01117
5201586,2017-12-16T08:00:00Z,11.0078,125.7704,0,01117
5201586,2017-12-16T09:00:00Z,11.0072,125.7710,0,01117
5201586,2017-12-16T10:00:00Z,11.0082,125.7700,0,01117
5201586,2017-12-16T11:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-16T12:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-16T13:00:00Z,11.0082,125.7698,0,01117
5201586,2017-12-16T14:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-16T15:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-16T16:00:00Z,11.0080,125.7700,0,01117
5201586,2017-12-16T18:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-16T19:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-16T20:00:00Z,11.0082,125.7700,0,01117
5201586,2017-12-16T21:00:00Z,11.0082,125.7700,0,01117
5201586,2017-12-16T23:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-17T00:00:00Z,11.0082,125.7704,0,01117
5201586,2017-12-17T01:00:00Z,11.0080,125.7706,0,01117
5201586,2017-12-17T02:00:00Z,11.0078,125.7702,0,01117
5201586,2017-12-17T03:00:00Z,11.0080,125.7700,0,01117
5201586,2017-12-17T04:00:00Z,11.0080,125.7702,0,01117
5201586,2017-12-17T05:00:00Z,11.0080,125.7712,0,01117
5201586,2017-12-17T06:00:00Z,11.0080,125.7702,0,01117
5201586,2017-12-17T07:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-17T08:00:00Z,11.0082,125.7704,0,01117
5201586,2017-12-17T09:00:00Z,11.0078,125.7710,0,01117
5201586,2017-12-17T10:00:00Z,11.0078,125.7730,0,01117
5201586,2017-12-17T11:00:00Z,11.0086,125.7706,0,01117
5201586,2017-12-17T12:00:00Z,11.0080,125.7704,0,01117
5201586,2017-12-17T13:00:00Z,11.0084,125.7704,0,01117
5201586,2017-12-17T14:00:00Z,11.0082,125.7710,0,01117
5201586,2017-12-17T15:00:00Z,11.0080,125.7702,0,01117
5201586,2017-12-17T16:00:00Z,11.0082,125.7700,0,01117
5201586,2017-12-17T17:00:00Z,11.0080,125.7702,0,01117
5201586,2017-12-17T18:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-17T19:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-17T21:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-17T22:00:00Z,11.0076,125.7704,0,01117
5201586,2017-12-17T23:00:00Z,11.0084,125.7700,0,01117
5201586,2017-12-18T00:00:00Z,11.0080,125.7698,0,01117
5201586,2017-12-18T01:00:00Z,11.0076,125.7704,0,01117
5201586,2017-12-18T02:00:00Z,11.0076,125.7702,0,01117
5201586,2017-12-18T03:00:00Z,11.0080,125.7700,0,01117
5201586,2017-12-18T04:00:00Z,11.0078,125.7706,0,01117
5201586,2017-12-18T05:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-18T06:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-18T07:00:00Z,11.0080,125.7708,0,01117
5201586,2017-12-18T08:00:00Z,11.0082,125.7700,0,01117
5201586,2017-12-18T09:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-18T10:00:00Z,11.0080,125.7700,0,01117
5201586,2017-12-18T12:00:00Z,11.0080,125.7702,0,01117
5201586,2017-12-18T13:00:00Z,11.0080,125.7698,0,01117
5201586,2017-12-18T14:00:00Z,11.0084,125.7704,0,01117
5201586,2017-12-18T15:00:00Z,11.0080,125.7708,0,01117
5201586,2017-12-18T17:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-18T18:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-18T19:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-18T20:00:00Z,11.0084,125.7698,0,01117
5201586,2017-12-18T21:00:00Z,11.0082,125.7700,0,01117
5201586,2017-12-18T22:00:00Z,11.0082,125.7700,0,01117
5201586,2017-12-18T23:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-19T00:00:00Z,11.0080,125.7702,0,01117
5201586,2017-12-19T01:00:00Z,11.0080,125.7702,0,01117
5201586,2017-12-19T02:00:00Z,11.0078,125.7698,0,01117
5201586,2017-12-19T03:00:00Z,11.0078,125.7700,0,01117
5201586,2017-12-19T04:00:00Z,11.0078,125.7702,0,01117
5201586,2017-12-19T05:00:00Z,11.0080,125.7706,0,01117
5201586,2017-12-19T06:00:00Z,11.0078,125.7698,0,01117
5201586,2017-12-19T07:00:00Z,11.0080,125.7698,0,01117
5201586,2017-12-19T08:00:00Z,11.0086,125.7692,0,01117
5201586,2017-12-19T09:00:00Z,11.0082,125.7700,0,01117
5201586,2017-12-19T10:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-19T11:00:00Z,11.0078,125.7700,0,01117
5201586,2017-12-19T12:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-19T13:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-19T14:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-19T15:00:00Z,11.0082,125.7700,0,01117
5201586,2017-12-19T16:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-19T18:00:00Z,11.0082,125.7700,0,01117
5201586,2017-12-19T19:00:00Z,11.0082,125.7700,0,01117
5201586,2017-12-19T20:00:00Z,11.0082,125.7700,0,01117
5201586,2017-12-19T21:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-19T23:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-20T00:00:00Z,11.0080,125.7698,0,01117
5201586,2017-12-20T01:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-20T02:00:00Z,11.0080,125.7700,0,01117
5201586,2017-12-20T03:00:00Z,11.0082,125.7700,0,01117
5201586,2017-12-20T04:00:00Z,11.0074,125.7702,0,01117
5201586,2017-12-20T05:00:00Z,11.0084,125.7720,0,01117
5201586,2017-12-20T06:00:00Z,11.0074,125.7702,0,01117
5201586,2017-12-20T07:00:00Z,11.0080,125.7700,0,01117
5201586,2017-12-20T08:00:00Z,11.0082,125.7700,0,01117
5201586,2017-12-20T09:00:00Z,11.0082,125.7700,0,01117
5201586,2017-12-20T10:00:00Z,11.0080,125.7702,0,01117
5201586,2017-12-20T11:00:00Z,11.0080,125.7706,0,01117
5201586,2017-12-20T12:00:00Z,11.0096,125.7680,0,01117
5201586,2017-12-20T13:00:00Z,11.0074,125.7686,0,01117
5201586,2017-12-20T14:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-20T15:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-20T16:00:00Z,11.0082,125.7700,0,01117
5201586,2017-12-20T17:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-20T18:00:00Z,11.0082,125.7700,0,01117
5201586,2017-12-20T19:00:00Z,11.0082,125.7698,0,01117
5201586,2017-12-20T21:00:00Z,11.0098,125.7702,0,01117
5201586,2017-12-20T22:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-20T23:00:00Z,11.0082,125.7700,0,01117
5201586,2017-12-21T00:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-21T01:00:00Z,11.0082,125.7700,0,01117
5201586,2017-12-21T02:00:00Z,11.0078,125.7688,0,01117
5201586,2017-12-21T03:00:00Z,11.0082,125.7700,0,01117
5201586,2017-12-21T04:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-21T05:00:00Z,11.0084,125.7702,0,01117
5201586,2017-12-21T06:00:00Z,11.0076,125.7700,0,01117
5201586,2017-12-21T07:00:00Z,11.0074,125.7702,0,01117
5201586,2017-12-21T08:00:00Z,11.0078,125.7706,0,01117
5201586,2017-12-21T09:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-21T10:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-21T11:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-21T12:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-21T13:00:00Z,11.0080,125.7700,0,01117
5201586,2017-12-21T14:00:00Z,11.0082,125.7700,0,01117
5201586,2017-12-21T15:00:00Z,11.0082,125.7700,0,01117
5201586,2017-12-21T17:00:00Z,11.0080,125.7702,0,01117
5201586,2017-12-21T18:00:00Z,11.0082,125.7700,0,01117
5201586,2017-12-21T19:00:00Z,11.0082,125.7698,0,01117
5201586,2017-12-21T20:00:00Z,11.0086,125.7700,0,01117
5201586,2017-12-21T21:00:00Z,11.0112,125.7716,0,01117
5201586,2017-12-21T22:00:00Z,11.0078,125.7702,0,01117
5201586,2017-12-21T23:00:00Z,11.0080,125.7702,0,01117
5201586,2017-12-22T00:00:00Z,11.0082,125.7700,0,01117
5201586,2017-12-22T01:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-22T02:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-22T03:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-22T04:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-22T05:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-22T06:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-22T07:00:00Z,11.0080,125.7702,0,01117
5201586,2017-12-22T08:00:00Z,11.0080,125.7698,0,01117
5201586,2017-12-22T09:00:00Z,11.0084,125.7702,0,01117
5201586,2017-12-22T10:00:00Z,11.0082,125.7704,0,01117
5201586,2017-12-22T11:00:00Z,11.0068,125.7698,0,01117
5201586,2017-12-22T12:00:00Z,11.0078,125.7692,0,01117
5201586,2017-12-22T13:00:00Z,11.0080,125.7696,0,01117
5201586,2017-12-22T14:00:00Z,11.0080,125.7700,0,01117
5201586,2017-12-22T15:00:00Z,11.0082,125.7700,0,01117
5201586,2017-12-22T16:00:00Z,11.0076,125.7700,0,01117
5201586,2017-12-22T18:00:00Z,11.0082,125.7698,0,01117
5201586,2017-12-22T19:00:00Z,11.0084,125.7696,0,01117
5201586,2017-12-22T20:00:00Z,11.0088,125.7702,0,01117
5201586,2017-12-22T21:00:00Z,11.0088,125.7706,0,01117
5201586,2017-12-22T23:00:00Z,11.0080,125.7702,0,01117
5201586,2017-12-23T00:00:00Z,11.0080,125.7704,0,01117
5201586,2017-12-23T01:00:00Z,11.0076,125.7704,0,01117
5201586,2017-12-23T02:00:00Z,11.0082,125.7704,0,01117
5201586,2017-12-23T03:00:00Z,11.0086,125.7716,0,01117
5201586,2017-12-23T04:00:00Z,11.0084,125.7712,0,01117
5201586,2017-12-23T05:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-23T06:00:00Z,11.0080,125.7702,0,01117
5201586,2017-12-23T07:00:00Z,11.0080,125.7706,0,01117
5201586,2017-12-23T08:00:00Z,11.0080,125.7702,0,01117
5201586,2017-12-23T09:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-23T10:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-23T11:00:00Z,11.0080,125.7700,0,01117
5201586,2017-12-23T12:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-23T13:00:00Z,11.0082,125.7696,0,01117
5201586,2017-12-23T14:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-23T15:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-23T16:00:00Z,11.0082,125.7700,0,01117
5201586,2017-12-23T17:00:00Z,11.0082,125.7700,0,01117
5201586,2017-12-23T18:00:00Z,11.0082,125.7700,0,01117
5201586,2017-12-23T19:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-23T20:00:00Z,11.0086,125.7698,0,01117
5201586,2017-12-23T21:00:00Z,11.0068,125.7700,0,01117
5201586,2017-12-23T22:00:00Z,11.0062,125.7700,0,01117
5201586,2017-12-23T23:00:00Z,11.0080,125.7702,0,01117
5201586,2017-12-24T00:00:00Z,11.0076,125.7702,0,01117
5201586,2017-12-24T01:00:00Z,11.0080,125.7694,0,01117
5201586,2017-12-24T02:00:00Z,11.0076,125.7700,0,01117
5201586,2017-12-24T03:00:00Z,11.0082,125.7698,0,01117
5201586,2017-12-24T04:00:00Z,11.0080,125.7696,0,01117
5201586,2017-12-24T05:00:00Z,11.0080,125.7700,0,01117
5201586,2017-12-24T06:00:00Z,11.0078,125.7700,0,01117
5201586,2017-12-24T07:00:00Z,11.0086,125.7698,0,01117
5201586,2017-12-24T08:00:00Z,11.0084,125.7700,0,01117
5201586,2017-12-24T09:00:00Z,11.0086,125.7724,0,01117
5201586,2017-12-24T10:00:00Z,11.0078,125.7726,0,01117
5201586,2017-12-24T11:00:00Z,11.0076,125.7706,0,01117
5201586,2017-12-24T12:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-24T13:00:00Z,11.0078,125.7702,0,01117
5201586,2017-12-24T14:00:00Z,11.0076,125.7704,0,01117
5201586,2017-12-24T15:00:00Z,11.0076,125.7706,0,01117
5201586,2017-12-24T17:00:00Z,11.0078,125.7704,0,01117
5201586,2017-12-24T18:00:00Z,11.0076,125.7704,0,01117
5201586,2017-12-24T19:00:00Z,11.0076,125.7706,0,01117
5201586,2017-12-24T20:00:00Z,11.0094,125.7696,0,01117
5201586,2017-12-24T21:00:00Z,11.0082,125.7700,0,01117
5201586,2017-12-24T22:00:00Z,11.0082,125.7700,0,01117
5201586,2017-12-24T23:00:00Z,11.0082,125.7700,0,01117
5201586,2017-12-25T00:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-25T01:00:00Z,11.0078,125.7700,0,01117
5201586,2017-12-25T02:00:00Z,11.0076,125.7698,0,01117
5201586,2017-12-25T04:00:00Z,11.0084,125.7700,0,01117
5201586,2017-12-25T05:00:00Z,11.0080,125.7702,0,01117
5201586,2017-12-25T06:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-25T07:00:00Z,11.0080,125.7704,0,01117
5201586,2017-12-25T08:00:00Z,11.0084,125.7698,0,01117
5201586,2017-12-25T09:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-25T10:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-25T11:00:00Z,11.0080,125.7700,0,01117
5201586,2017-12-25T12:00:00Z,11.0082,125.7700,0,01117
5201586,2017-12-25T13:00:00Z,11.0082,125.7698,0,01117
5201586,2017-12-25T14:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-25T15:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-25T16:00:00Z,11.0082,125.7700,0,01117
5201586,2017-12-25T17:00:00Z,11.0082,125.7704,0,01117
5201586,2017-12-25T18:00:00Z,11.0082,125.7702,0,01117
5201586,2017-12-25T19:00:00Z,11.0082,125.7700,0,01117
5201586,2017-12-25T20:00:00Z,11.0084,125.7698,0,01117
5201586,2017-12-25T21:00:00Z,11.0090,125.7700,0,01117
5201586,2017-12-25T23:00:00Z,11.0076,125.7698,0,01117
5201586,2017-12-26T00:00:00Z,11.0078,125.7700,0,01117
5201586,2017-12-26T01:00:00Z,11.0068,125.7696,0,01117
5201586,2017-12-26T02:00:00Z,11.0072,125.7692,0,01117
5201586,2017-12-26T03:00:00Z,11.0078,125.7698,0,01117
5201586,2017-12-26T04:00:00Z,11.0080,125.7702,0,01117
5201586,2017-12-26T05:01:00Z,11.0084,125.7704,0,01117
5201586,2017-12-26T06:00:00Z,11.0074,125.7698,0,01117
5201586,2017-12-26T07:00:00Z,11.0064,125.7702,0,01117
5201586,2017-12-26T08:00:00Z,11.0084,125.7692,0,01117
